"Request Id","Report Type","Request Status","Enterprise","Category","Sub Category","Severity","Average Response","Average Handling"
"5240","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 23 Hours","1 Days 23 Hours"
"5241","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 23 Hours","1 Days 23 Hours"
"5242","Request","Closed","CT LFTZ","Trade Operations","Renewal of vehicle registration","Urgent","1 Days 0 Hours","1 Days 0 Hours"
"5243","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 1 Hours","0 Days 1 Hours"
"5244","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 1 Hours","0 Days 1 Hours"
"5245","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 1 Hours","0 Days 1 Hours"
"5246","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5247","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5248","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5249","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5250","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5251","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5252","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5253","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Renewal of vehicle registration","High","3 Days 17 Hours","3 Days 17 Hours"
"5255","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5256","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5257","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5258","Request","Closed","China Habour","Trade Operations","Renewal of vehicle registration","High","0 Days 0 Hours","0 Days 0 Hours"
"5259","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
"5260","Request","Closed","GREEN PACKAGING LFZE","Trade Operations","Request for plate number","High","0 Days 0 Hours","0 Days 0 Hours"
